kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
14.20505,-9.874442687925404,14.20505,4.407183803938018e-11,14.20505,-0.0001442401821674509,14.20505,16776.45838049509,14.20505,-7.681450984326282e-14,14.20505,-0.413250563098443,14.20505,1.005993838378151e-10
14.82623,-9.874442687887402,14.82623,4.407183803896353e-11,14.82623,-0.0001505476744281769,14.82623,16073.57551105897,14.82623,-7.681450984230908e-14,14.82623,-0.4132505630970165,14.82623,1.0059938383703e-10
15.47457,-9.874442687850921,15.47457,4.407183803856369e-11,15.47457,-0.0001571309876010316,15.47457,15400.14130814097,15.47457,-7.681450984136761e-14,15.47457,-0.4132505630956486,15.47457,1.005993838362763e-10
16.15126,-9.874442687816037,16.15126,4.407183803818124e-11,16.15126,-0.000164002183084174,16.15126,14754.92196167486,16.15126,-7.681450984049182e-14,16.15126,-0.4132505630943392,16.15126,1.005993838355556e-10
16.85754,-9.874442687782578,16.85754,4.407183803781446e-11,16.85754,-0.0001711738497097651,16.85754,14136.73535450436,16.85754,-7.681450983964205e-14,16.85754,-0.4132505630930838,16.85754,1.005993838348644e-10
17.5947,-9.874442687750507,17.5947,4.407183803746292e-11,17.5947,-0.0001786591268081686,17.5947,13544.44889660714,17.5947,-7.681450983882597e-14,17.5947,-0.413250563091881,17.5947,1.005993838342018e-10
18.3641,-9.874442687719796,18.3641,4.407183803712624e-11,18.3641,-0.0001864717282807382,18.3641,12976.97745005778,18.3641,-7.681450983804248e-14,18.3641,-0.4132505630907287,18.3641,1.005993838335673e-10
19.16715,-9.874442687690372,19.16715,4.40718380368037e-11,19.16715,-0.0001946259677252895,19.16715,12433.28134092804,19.16715,-7.681450983728643e-14,19.16715,-0.4132505630896248,19.16715,1.005993838329594e-10
20.00531,-9.874442687662244,20.00531,4.40718380364953e-11,20.00531,-0.0002031367846602783,20.00531,11912.36445448313,20.00531,-7.68145098365728e-14,20.00531,-0.4132505630885684,20.00531,1.005993838323783e-10
20.88012,-9.874442687635241,20.88012,4.40718380361993e-11,20.88012,-0.0002120197718957485,20.88012,11413.27241018293,20.88012,-7.681450983586889e-14,20.88012,-0.4132505630875553,20.88012,1.005993838318205e-10
21.79319,-9.874442687609369,21.79319,4.407183803591571e-11,21.79319,-0.0002212912041011728,21.79319,10935.0908131458,21.79319,-7.681450983519577e-14,21.79319,-0.4132505630865847,21.79319,1.00599383831286e-10
22.74619,-9.874442687584544,22.74619,4.407183803564355e-11,22.74619,-0.0002309680676225507,22.74619,10476.94357887029,22.74619,-7.681450983457808e-14,22.74619,-0.4132505630856534,22.74619,1.00599383830773e-10
