rds X,rds Y,kcgd X,kcgd Y,kgds X,kgds Y,kgmp X,kgmp Y,kcds X,kcds Y,ids X,ids Y,kcgs X,kcgs Y
14.17474,12260.08619855264,14.17474,2.870311867460804e-11,14.17474,-0.3688610927228216,14.17474,-7.596715747769949,14.17474,-4.951562463941986e-14,14.17474,-0.0002211279439542903,14.17474,6.697860470734482e-11
14.84968,11702.84635932268,14.84968,2.870311867437669e-11,14.84968,-0.3688610927215754,14.84968,-7.596715747740921,14.84968,-4.951562463883418e-14,14.84968,-0.0002316571174702136,14.84968,6.697860470689747e-11
15.55676,11170.93393079934,15.55676,2.870311867415577e-11,15.55676,-0.3688610927203856,15.55676,-7.596715747713213,15.55676,-4.951562463826627e-14,15.55676,-0.0002426876455093518,15.55676,6.697860470647024e-11
16.29751,10663.19774307696,16.29751,2.870311867394486e-11,16.29751,-0.3688610927192498,16.29751,-7.596715747686753,16.29751,-4.951562463772062e-14,16.29751,-0.0002542434004447404,16.29751,6.69786047060624e-11
17.07353,10178.53894869883,17.07353,2.870311867374428e-11,17.07353,-0.3688610927181674,17.07353,-7.596715747661592,17.07353,-4.951562463720125e-14,17.07353,-0.0002663493913504246,17.07353,6.697860470567462e-11
17.8865,9715.908644520521,17.8865,2.870311867355189e-11,17.8865,-0.3688610927171318,17.8865,-7.596715747637456,17.8865,-4.951562463671507e-14,17.8865,-0.0002790318181263555,17.8865,6.697860470530255e-11
18.73817,9274.305601665066,18.73817,2.870311867336864e-11,18.73817,-0.3688610927161444,18.73817,-7.596715747614463,18.73817,-4.951562463624638e-14,18.73817,-0.0002923181282004189,18.73817,6.69786047049482e-11
19.63041,8852.77409865291,19.63041,2.870311867319407e-11,19.63041,-0.3688610927152028,19.63041,-7.596715747592569,19.63041,-4.951562463579308e-14,19.63041,-0.0003062370759304523,19.63041,6.697860470461073e-11
20.56512,8450.401853020538,20.56512,2.870311867302675e-11,20.56512,-0.3688610927143021,20.56512,-7.596715747571579,20.56512,-4.951562463536165e-14,20.56512,-0.0003208187848346984,20.56512,6.697860470428713e-11
21.54435,8066.318046950796,21.54435,2.870311867286711e-11,21.54435,-0.3688610927134426,21.54435,-7.596715747551549,21.54435,-4.951562463494307e-14,21.54435,-0.0003360948127853787,21.54435,6.69786047039784e-11
22.5702,7699.691442640263,22.5702,2.870311867271544e-11,22.5702,-0.3688610927126241,22.5702,-7.596715747532524,22.5702,-4.951562463455584e-14,22.5702,-0.0003520982203065573,22.5702,6.69786047036852e-11
23.64489,7349.728583326132,23.64489,2.870311867257017e-11,23.64489,-0.3688610927118415,23.64489,-7.5967157475143,23.64489,-4.951562463418282e-14,23.64489,-0.0003688636421240644,23.64489,6.69786047034043e-11
24.77076,7015.672076080476,24.77076,2.870311867243122e-11,24.77076,-0.3688610927110935,24.77076,-7.596715747496862,24.77076,-4.951562463382866e-14,24.77076,-0.0003864273621222511,24.77076,6.697860470313557e-11
25.95024,6696.798952652804,25.95024,2.870311867229884e-11,25.95024,-0.3688610927103805,25.95024,-7.596715747480257,25.95024,-4.951562463349152e-14,25.95024,-0.0004048273918699362,25.95024,6.697860470287957e-11
27.18588,6392.419104815433,27.18588,2.870311867217282e-11,27.18588,-0.3688610927097007,27.18588,-7.596715747464453,27.18588,-4.951562463315373e-14,27.18588,-0.0004241035528854029,27.18588,6.697860470263595e-11
28.48036,6101.873790824517,28.48036,2.870311867205243e-11,28.48036,-0.3688610927090514,28.48036,-7.596715747449353,28.48036,-4.951562463283532e-14,28.48036,-0.0004442975628185179,28.48036,6.697860470240318e-11
29.83647,5824.534209765186,29.83647,2.870311867193696e-11,29.83647,-0.3688610927084303,29.83647,-7.596715747434864,29.83647,-4.951562463254954e-14,29.83647,-0.0004654531257364498,29.83647,6.697860470217985e-11
31.25716,5559.800140694847,31.25716,2.870311867182705e-11,31.25716,-0.3688610927078383,31.25716,-7.596715747421078,31.25716,-4.951562463227321e-14,31.25716,-0.0004876160267084026,31.25716,6.697860470196737e-11
32.74549,5307.098643638922,32.74549,2.870311867172231e-11,32.74549,-0.3688610927072734,32.74549,-7.596715747407933,32.74549,-4.951562463200214e-14,32.74549,-0.0005108342308941343,32.74549,6.697860470176481e-11
34.30469,5065.882819628908,34.30469,2.870311867162239e-11,34.30469,-0.3688610927067346,34.30469,-7.596715747395399,34.30469,-4.951562463172931e-14,34.30469,-0.0005351579873505926,34.30469,6.697860470157163e-11
35.93814,4835.630627098451,35.93814,2.870311867152657e-11,35.93814,-0.3688610927062191,35.93814,-7.596715747383379,35.93814,-4.951562463150053e-14,35.93814,-0.0005606399377814067,35.93814,6.69786047013863e-11
37.64936,4615.843752076301,37.64936,2.870311867143574e-11,37.64936,-0.3688610927057284,37.64936,-7.596715747371986,37.64936,-4.951562463126935e-14,37.64936,-0.0005873352304645196,37.64936,6.697860470121074e-11
39.44206,4406.046529729936,39.44206,2.87031186713483e-11,39.44206,-0.3688610927052585,39.44206,-7.596715747361017,39.44206,-4.951562463105152e-14,39.44206,-0.0006153016396046938,39.44206,6.697860470104161e-11
41.32012,4205.784914927935,41.32012,2.870311867126549e-11,41.32012,-0.3688610927048115,41.32012,-7.596715747350631,41.32012,-4.951562463083458e-14,41.32012,-0.0006445996903688879,41.32012,6.697860470088151e-11
43.28761,4014.625499590578,43.28761,2.87031186711862e-11,43.28761,-0.3688610927043841,43.28761,-7.596715747340679,43.28761,-4.951562463061669e-14,43.28761,-0.0006752927898754959,43.28761,6.697860470072821e-11
45.34879,3832.154574704405,45.34879,2.870311867111033e-11,45.34879,-0.3688610927039755,45.34879,-7.596715747331162,45.34879,-4.951562463041711e-14,45.34879,-0.0007074473644205618,45.34879,6.697860470058145e-11
47.5081,3657.977234969129,47.5081,2.870311867103822e-11,47.5081,-0.3688610927035867,47.5081,-7.596715747322118,47.5081,-4.95156246302406e-14,47.5081,-0.0007411330032382139,47.5081,6.69786047004421e-11
49.77024,3491.716524139698,49.77024,2.870311867096874e-11,49.77024,-0.3688610927032135,49.77024,-7.596715747313395,49.77024,-4.951562463005757e-14,49.77024,-0.0007764226091063875,49.77024,6.697860470030764e-11
52.14008,3333.012619214422,52.14008,2.87031186709034e-11,52.14008,-0.3688610927028602,52.14008,-7.596715747305207,52.14008,-4.951562462988509e-14,52.14008,-0.0008133925561235983,52.14008,6.697860470018139e-11
54.62277,3181.522051702073,54.62277,2.87031186708403e-11,54.62277,-0.3688610927025207,54.62277,-7.596715747297287,54.62277,-4.951562462974153e-14,54.62277,-0.0008521228549986472,54.62277,6.697860470005935e-11
57.22368,3036.916964284633,57.22368,2.870311867078006e-11,57.22368,-0.3688610927021969,57.22368,-7.596715747289727,57.22368,-4.951562462956295e-14,57.22368,-0.0008926973262104024,57.22368,6.697860469994279e-11
59.94843,2898.884401265189,59.94843,2.870311867072301e-11,59.94843,-0.3688610927018888,59.94843,-7.596715747282574,59.94843,-4.951562462942842e-14,59.94843,-0.0009352037814129318,59.94843,6.697860469983253e-11
62.80291,2767.125631266118,62.80291,2.870311867066806e-11,62.80291,-0.3688610927015934,62.80291,-7.596715747275681,62.80291,-4.951562462928214e-14,62.80291,-0.0009797342134783666,62.80291,6.697860469972623e-11
65.79331999999999,2641.355500712114,65.79331999999999,2.870311867061616e-11,65.79331999999999,-0.3688610927013128,65.79331999999999,-7.596715747269172,65.79331999999999,-4.951562462914228e-14,65.79331999999999,-0.001026384995588628,65.79331999999999,6.697860469962592e-11
68.92612,2521.30181669781,68.92612,2.870311867056612e-11,68.92612,-0.3688610927010439,68.92612,-7.596715747262889,68.92612,-4.951562462903106e-14,68.92612,-0.001075257089807312,68.92612,6.697860469952912e-11
72.20809,2406.704757905614,72.20809,2.870311867051885e-11,72.20809,-0.3688610927007884,72.20809,-7.596715747256964,72.20809,-4.951562462890114e-14,72.20809,-0.001126456265582609,72.20809,6.697860469943777e-11
75.64633000000001,2297.316312297693,75.64633000000001,2.870311867047341e-11,75.64633000000001,-0.3688610927005437,75.64633000000001,-7.596715747251261,75.64633000000001,-4.951562462877999e-14,75.64633000000001,-0.001180093328654669,75.64633000000001,6.697860469934991e-11
79.24829,2192.899740366176,79.24829,2.870311867043005e-11,79.24829,-0.3688610927003102,79.24829,-7.596715747245824,79.24829,-4.951562462866736e-14,79.24829,-0.001236284360862331,79.24829,6.697860469926608e-11
83.02176,2093.229062779183,83.02176,2.870311867038886e-11,83.02176,-0.3688610927000878,83.02176,-7.596715747240658,83.02176,-4.951562462856554e-14,83.02176,-0.001295150971368581,83.02176,6.697860469918643e-11
86.97490000000001,1998.088571314187,86.97490000000001,2.870311867034909e-11,86.97490000000001,-0.3688610926998743,86.97490000000001,-7.596715747235665,86.97490000000001,-4.951562462846178e-14,86.97490000000001,-0.001356820559848284,86.97490000000001,6.697860469910949e-11
91.11628,1907.272362020354,91.11628,2.870311867031122e-11,91.11628,-0.3688610926996708,91.11628,-7.596715747230912,91.11628,-4.951562462836633e-14,91.11628,-0.001421426592207672,91.11628,6.697860469903623e-11
95.45484999999999,1820.583889599174,95.45484999999999,2.87031186702753e-11,95.45484999999999,-0.3688610926994768,95.45484999999999,-7.596715747226405,95.45484999999999,-4.951562462828798e-14,95.45484999999999,-0.001489108889432593,95.45484999999999,6.69786046989668e-11
100,1737.835542039273,100,2.870311867024127e-11,100,-0.3688610926992928,100,-7.596715747222142,100,-4.9515624628184e-14,100,-0.001560013930190399,100,6.697860469890104e-11
104.7616,1658.848234584727,104.7616,2.870311867020838e-11,104.7616,-0.3688610926991157,104.7616,-7.59671574721801,104.7616,-4.951562462811737e-14,104.7616,-0.001634295167840492,104.7616,6.697860469883743e-11
109.7499,1583.451022158214,109.7499,2.870311867017731e-11,109.7499,-0.3688610926989477,109.7499,-7.596715747214115,109.7499,-4.95156246280231e-14,109.7499,-0.001712113362539422,109.7499,6.697860469877737e-11
114.9757,1511.480729399938,114.9757,2.870311867014725e-11,114.9757,-0.3688610926987861,114.9757,-7.596715747210344,114.9757,-4.951562462793812e-14,114.9757,-0.001793636929159702,114.9757,6.697860469871922e-11
120.4504,1442.781597522101,120.4504,2.87031186701188e-11,120.4504,-0.3688610926986328,120.4504,-7.596715747206776,120.4504,-4.951562462784517e-14,120.4504,-0.001879042301774694,120.4504,6.697860469866423e-11
126.1857,1377.204947214161,126.1857,2.870311867009144e-11,126.1857,-0.3688610926984858,126.1857,-7.596715747203344,126.1857,-4.951562462779781e-14,126.1857,-0.001968514315499042,126.1857,6.697860469861128e-11
132.1941,1314.608856869742,132.1941,2.870311867006557e-11,132.1941,-0.3688610926983463,132.1941,-7.596715747200099,132.1941,-4.951562462773179e-14,132.1941,-0.002062246606510447,132.1941,6.697860469856127e-11
138.4886,1254.857855438443,138.4886,2.870311867004065e-11,138.4886,-0.3688610926982123,138.4886,-7.596715747196972,138.4886,-4.95156246276555e-14,138.4886,-0.002160442031119101,138.4886,6.697860469851306e-11
145.0829,1197.822629238267,145.0829,2.870311867001719e-11,145.0829,-0.3688610926980853,145.0829,-7.596715747194032,145.0829,-4.951562462760877e-14,145.0829,-0.002263313104790951,145.0829,6.697860469846772e-11
151.9911,1143.379742093552,151.9911,2.870311866999444e-11,151.9911,-0.3688610926979632,151.9911,-7.596715747191173,151.9911,-4.951562462755535e-14,151.9911,-0.002371082462076017,151.9911,6.697860469842374e-11
159.2283,1091.411368193396,159.2283,2.870311866997258e-11,159.2283,-0.3688610926978462,159.2283,-7.596715747188431,159.2283,-4.951562462749997e-14,159.2283,-0.002483983338435859,159.2283,6.697860469838141e-11
166.8101,1041.805037091815,166.8101,2.870311866995206e-11,166.8101,-0.3688610926977354,166.8101,-7.596715747185859,166.8101,-4.951562462743979e-14,166.8101,-0.002602260075014176,166.8101,6.697860469834173e-11
174.7528,994.4533902981889,174.7528,2.870311866993285e-11,174.7528,-0.3688610926976306,174.7528,-7.596715747183447,174.7528,-4.951562462739343e-14,174.7528,-0.00272616864744214,174.7528,6.697860469830468e-11
183.0738,949.2539489309493,183.0738,2.870311866991372e-11,183.0738,-0.3688610926975287,183.0738,-7.596715747181047,183.0738,-4.951562462734824e-14,183.0738,-0.002855977219823418,183.0738,6.697860469826761e-11
191.791,906.1088919319095,191.791,2.870311866989584e-11,191.791,-0.3688610926974323,191.791,-7.596715747178806,191.791,-4.951562462729072e-14,191.791,-0.002991966725097149,191.791,6.697860469823305e-11
200.9233,864.9248443609214,200.9233,2.870311866987912e-11,200.9233,-0.3688610926973411,200.9233,-7.596715747176709,200.9233,-4.951562462725817e-14,200.9233,-0.003134431473035949,200.9233,6.697860469820078e-11
210.4904,825.612675312955,210.4904,2.870311866986245e-11,210.4904,-0.3688610926972522,210.4904,-7.596715747174615,210.4904,-4.95156246272295e-14,210.4904,-0.003283679787193918,210.4904,6.69786046981685e-11
220.5131,788.0873050202156,220.5131,2.870311866984692e-11,220.5131,-0.3688610926971686,220.5131,-7.596715747172666,220.5131,-4.951562462717291e-14,220.5131,-0.003440034672183075,220.5131,6.697860469813847e-11
231.013,752.267520721638,231.013,2.870311866983199e-11,231.013,-0.3688610926970881,231.013,-7.596715747170793,231.013,-4.951562462712543e-14,231.013,-0.00360383451272333,231.013,6.697860469810958e-11
242.0128,718.0758009014938,242.0128,2.870311866981808e-11,242.0128,-0.3688610926970124,242.0128,-7.596715747169053,242.0128,-4.951562462711146e-14,242.0128,-0.003775433805977694,242.0128,6.697860469808276e-11
253.5364,685.4381475165642,253.5364,2.87031186698042e-11,253.5364,-0.3688610926969387,253.5364,-7.59671574716731,253.5364,-4.951562462705858e-14,253.5364,-0.003955203928758626,253.5364,6.697860469805586e-11
265.6088,654.2839258489381,265.6088,2.870311866979129e-11,265.6088,-0.368861092696869,265.6088,-7.596715747165682,265.6088,-4.951562462703195e-14,265.6088,-0.004143533941264809,265.6088,6.697860469803087e-11
278.2559,624.5457116376135,278.2559,2.870311866977881e-11,278.2559,-0.3688610926968022,278.2559,-7.59671574716412,278.2559,-4.951562462699562e-14,278.2559,-0.004340831429089391,278.2559,6.697860469800671e-11
291.5053,596.1591451583381,291.5053,2.870311866976753e-11,291.5053,-0.3688610926967399,291.5053,-7.596715747162713,291.5053,-4.951562462696758e-14,291.5053,-0.004547523385320147,291.5053,6.6978604697985e-11
305.3856,569.0627919356126,305.3856,2.870311866975589e-11,305.3856,-0.3688610926966785,305.3856,-7.596715747161247,305.3856,-4.951562462693153e-14,305.3856,-0.004764057134642546,305.3856,6.697860469796246e-11
