kcsg_p X,kcsg_p Y
1.164303e-05,1.468199914100192e-10
1.180517e-05,1.451003645686277e-10
1.196956e-05,1.43399060283156e-10
1.213624e-05,1.417158869263735e-10
1.230524e-05,1.400506558240868e-10
1.24766e-05,1.384031807576667e-10
1.265034e-05,1.367732783648601e-10
1.28265e-05,1.351607673026557e-10
1.300511e-05,1.335654692885029e-10
1.318621e-05,1.319872080089634e-10
1.336984e-05,1.304258096887153e-10
1.355602e-05,1.288811030836547e-10
1.374479e-05,1.273529189086798e-10
1.393619e-05,1.258410905123276e-10
1.413026e-05,1.243454530806199e-10
1.432703e-05,1.228658443598395e-10
1.452654e-05,1.214021038227378e-10
1.472883e-05,1.199540733621571e-10
1.493393e-05,1.185215967782462e-10
1.514189e-05,1.171045198712481e-10
1.535275e-05,1.157026903858227e-10
1.556654e-05,1.143159581510608e-10
1.578331e-05,1.129441746330122e-10
1.60031e-05,1.11587193400437e-10
1.622595e-05,1.102448696871956e-10
1.645191e-05,1.089170604763525e-10
1.668101e-05,1.07603624625523e-10
1.69133e-05,1.063044225278472e-10
1.714882e-05,1.050193163561501e-10
1.738762e-05,1.037481699006017e-10
1.762975e-05,1.024908484764116e-10
1.787526e-05,1.012472189912932e-10
1.812418e-05,1.000171499509447e-10
1.837656e-05,9.880051122156691e-11
1.863246e-05,9.759717419448049e-11
1.889193e-05,9.640701174285661e-11
1.915501e-05,9.52298980039153e-11
