kcgd_n X,kcgd_n Y,kgds_n X,kgds_n Y,vs X,vs Y,gmn X,gmn Y,kcgs_n X,kcgs_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y
3.274549e-06,-5.13245049537046e-10,3.274549e-06,0.3199941368880916,3.274549e-06,1.110044344278489,3.274549e-06,2.553163108782955e-05,3.274549e-06,-8.9797985571136e-10,3.274549e-06,2410546.284384923,3.274549e-06,19.69409625870863,3.274549e-06,1.296410393878297e-06
3.764936e-06,-4.585163931219683e-10,3.764936e-06,0.3162345794990303,3.764936e-06,1.105940515409893,3.764936e-06,2.836221297105151e-05,3.764936e-06,-8.171018999199633e-10,3.764936e-06,2179030.444488574,3.764936e-06,19.54396918133631,3.764936e-06,1.45120025046582e-06
4.328761e-06,-4.104500462805193e-10,4.328761e-06,0.3124758915884007,4.328761e-06,1.101853945602783,4.328761e-06,3.144043291594342e-05,4.328761e-06,-7.448733480174636e-10,4.328761e-06,1973997.594203571,4.328761e-06,19.39329716922689,4.328761e-06,1.621201007832377e-06
4.977024e-06,-3.686442549824028e-10,4.977024e-06,0.3087630439348553,4.977024e-06,1.097832636256841,4.977024e-06,3.473672933832495e-05,4.977024e-06,-6.80980064607904e-10,4.977024e-06,1794197.402783663,4.977024e-06,19.24351763402105,4.977024e-06,1.805113285364891e-06
5.722368e-06,-3.311632468639382e-10,5.722368e-06,0.3049876522935909,5.722368e-06,1.093758032526768,5.722368e-06,3.836072102541585e-05,5.722368e-06,-6.227028155815434e-10,5.722368e-06,1631672.522746848,5.722368e-06,19.08982813792844,5.722368e-06,2.009484881071257e-06
6.579332e-06,-2.979950542733872e-10,6.579332e-06,0.3012001517074656,6.579332e-06,1.089682978122714,6.579332e-06,4.228342154757331e-05,6.579332e-06,-5.702188872400741e-10,6.579332e-06,1486661.556198337,6.579332e-06,18.93378408503067,6.579332e-06,2.233226139987685e-06
7.564632999999999e-06,-2.686244326443139e-10,7.564632999999999e-06,0.2974036988252981,7.564632999999999e-06,1.085608151478886,7.564632999999999e-06,4.651484538190811e-05,7.564632999999999e-06,-5.229153826073763e-10,7.564632999999999e-06,1357196.122694291,7.564632999999999e-06,18.77502644971711,7.564632999999999e-06,2.47748494557295e-06
8.69749e-06,-2.426000438993982e-10,8.69749e-06,0.2936022894412134,8.69749e-06,1.081534232389036,8.69749e-06,5.10625118976263e-05,8.69749e-06,-4.802519208061907e-10,8.69749e-06,1241538.754894763,8.69749e-06,18.6132364149324,8.69749e-06,2.743344078338874e-06
9.999999999999999e-06,-2.195264399182173e-10,9.999999999999999e-06,0.2898008077235148,9.999999999999999e-06,1.077461931852961,9.999999999999999e-06,5.593089511247794e-05,9.999999999999999e-06,-4.417512954650688e-10,9.999999999999999e-06,1138155.670086793,9.999999999999999e-06,18.44815877257124,9.999999999999999e-06,3.031787388757521e-06
1.149757e-05,-1.990571221286507e-10,1.149757e-05,0.2860050739741344,1.149757e-05,1.073392046709161,1.149757e-05,6.112084016327631e-05,1.149757e-05,-4.069915135337881e-10,1.149757e-05,1045693.075335638,1.149757e-05,18.27962514093898,1.149757e-05,3.343659385355245e-06
