kcgd X,kcgd Y,kgmp X,kgmp Y,ids X,ids Y,kgds X,kgds Y,rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y
47.087,9.939808223061534e-11,47.087,-12.63709852298333,47.087,-0.0001975050672984932,47.087,-0.3778176157074896,47.087,13401.07242797752,47.087,-1.643836969638486e-13,47.087,2.164503880520264e-10
49.14607,9.939808223024768e-11,49.14607,-12.63709852296788,49.14607,-0.0002061417846442552,49.14607,-0.3778176157071039,49.14607,12839.60802187683,49.14607,-1.643836969632464e-13,49.14607,2.16450388051416e-10
51.29518,9.939808222989809e-11,51.29518,-12.6370985229532,51.29518,-0.0002151561778011926,51.29518,-0.3778176157067361,51.29518,12301.66727636621,51.29518,-1.643836969626117e-13,51.29518,2.164503880508359e-10
53.53827,9.939808222955996e-11,53.53827,-12.63709852293899,53.53827,-0.0002245647621897772,53.53827,-0.3778176157063818,53.53827,11786.26462120838,53.53827,-1.643836969619976e-13,53.53827,2.164503880502746e-10
55.87946,9.939808222923515e-11,55.87946,-12.63709852292535,55.87946,-0.0002343847754348113,55.87946,-0.3778176157060417,55.87946,11292.45577857921,55.87946,-1.643836969614142e-13,55.87946,2.164503880497353e-10
58.32301,9.939808222892493e-11,58.32301,-12.63709852291231,58.32301,-0.0002446342089467856,58.32301,-0.3778176157057166,58.32301,10819.33603303963,58.32301,-1.643836969608828e-13,58.32301,2.164503880492203e-10
60.87343,9.939808222862851e-11,60.87343,-12.63709852289986,60.87343,-0.0002553318408842497,60.87343,-0.3778176157054055,60.87343,10366.03857399107,60.87343,-1.643836969603203e-13,60.87343,2.164503880487283e-10
63.53537,9.93980822283456e-11,63.53537,-12.63709852288798,63.53537,-0.0002664972705575808,63.53537,-0.377817615705108,63.53537,9931.732907577718,63.53537,-1.643836969598264e-13,63.53537,2.164503880482588e-10
66.31371,9.939808222806958e-11,66.31371,-12.63709852287638,66.31371,-0.0002781509543372309,66.31371,-0.3778176157048201,66.31371,9515.62333512407,66.31371,-1.643836969593777e-13,66.31371,2.164503880478003e-10
69.21355,9.939808222781026e-11,69.21355,-12.63709852286549,69.21355,-0.0002903142431321195,69.21355,-0.3778176157045474,69.21355,9116.947495324119,69.21355,-1.643836969588516e-13,69.21355,2.164503880473699e-10
72.24019,9.939808222755991e-11,72.24019,-12.63709852285497,72.24019,-0.0003030094215070863,72.24019,-0.3778176157042851,72.24019,8734.974967503556,72.24019,-1.643836969584294e-13,72.24019,2.164503880469544e-10
75.39919,9.939808222732022e-11,75.39919,-12.63709852284491,75.39919,-0.0003162597485107393,75.39919,-0.3778176157040337,75.39919,8369.005933406084,75.39919,-1.64383696957983e-13,75.39919,2.164503880465565e-10
78.69633,9.939808222708826e-11,78.69633,-12.63709852283516,78.69633,-0.0003300895002887881,78.69633,-0.3778176157037915,78.69633,8018.369895043556,78.69633,-1.643836969576216e-13,78.69633,2.164503880461712e-10
82.13764999999999,9.93980822268688e-11,82.13764999999999,-12.63709852282593,82.13764999999999,-0.0003445240145607364,82.13764999999999,-0.3778176157035609,82.13764999999999,7682.424446266292,82.13764999999999,-1.643836969572082e-13,82.13764999999999,2.164503880458069e-10
85.72945,9.939808222665977e-11,85.72945,-12.63709852281716,85.72945,-0.0003595897370415885,85.72945,-0.377817615703341,85.72945,7360.55409579899,85.72945,-1.64383696956846e-13,85.72945,2.164503880454601e-10
89.47832,9.939808222645691e-11,89.47832,-12.63709852280863,89.47832,-0.0003753142698934739,89.47832,-0.3778176157031286,89.47832,7052.169139589268,89.47832,-1.643836969564179e-13,89.47832,2.164503880451232e-10
93.39113,9.939808222626428e-11,93.39113,-12.63709852280054,93.39113,-0.0003917264222959905,93.39113,-0.3778176157029262,93.39113,6756.704580401602,93.39113,-1.643836969561538e-13,93.39113,2.164503880448036e-10
97.47504000000001,9.939808222607759e-11,97.47504000000001,-12.63709852279269,97.47504000000001,-0.0004088562632280463,97.47504000000001,-0.377817615702731,97.47504000000001,6473.619092675447,97.47504000000001,-1.643836969558323e-13,97.47504000000001,2.164503880444936e-10
101.7375,9.939808222590152e-11,101.7375,-12.6370985227853,101.7375,-0.0004267351765576704,101.7375,-0.3778176157025456,101.7375,6202.39403075463,101.7375,-1.643836969554955e-13,101.7375,2.164503880442014e-10
106.1864,9.939808222573167e-11,106.1864,-12.63709852277817,106.1864,-0.0004453959185410002,106.1864,-0.3778176157023674,106.1864,5942.53247866689,106.1864,-1.643836969552021e-13,106.1864,2.164503880439195e-10
