kcgd_n X,kcgd_n Y
1.346261e-06,-4.996318746179198e-10
1.365008e-06,-4.928156800715754e-10
1.384016e-06,-4.86092482250792e-10
1.403289e-06,-4.79461021635444e-10
1.42283e-06,-4.729200552148359e-10
1.442644e-06,-4.664683558956894e-10
1.462733e-06,-4.601047129170316e-10
1.483103e-06,-4.53827931263396e-10
1.503755e-06,-4.476368314406894e-10
1.524696e-06,-4.415302495522684e-10
1.545928e-06,-4.355070373389422e-10
1.567455e-06,-4.295660610978163e-10
1.589283e-06,-4.237062026023978e-10
1.611414e-06,-4.179263588241947e-10
1.633854e-06,-4.122254404165367e-10
1.656606e-06,-4.066023735857684e-10
1.679675e-06,-4.01056098323329e-10
1.703065e-06,-3.955855689660478e-10
1.726781e-06,-3.901897537488481e-10
1.750827e-06,-3.841125770867776e-10
1.775208e-06,-3.789196569578495e-10
1.799929e-06,-3.737945279341012e-10
1.824993e-06,-3.687364556677944e-10
1.850407e-06,-3.637447059942754e-10
1.876175e-06,-3.588185456834845e-10
1.902301e-06,-3.539572416528825e-10
1.928792e-06,-3.491600632094415e-10
1.955651e-06,-3.444262805087767e-10
1.982884e-06,-3.397551661707431e-10
2.010496e-06,-3.351459948740371e-10
2.038493e-06,-3.30598044012024e-10
2.06688e-06,-3.261467397438536e-10
2.095662e-06,-3.217176973285926e-10
2.124845e-06,-3.173477696316765e-10
2.154435e-06,-3.130450844322886e-10
2.184436e-06,-3.08791270244908e-10
2.214855e-06,-3.04594451796835e-10
2.245698e-06,-3.004539313725774e-10
2.27697e-06,-2.963690158212327e-10
2.308678e-06,-2.923390163846067e-10
2.340827e-06,-2.883632496720428e-10
2.373424e-06,-2.844410371944824e-10
2.406475e-06,-2.805717057955908e-10
2.439986e-06,-2.767545876938582e-10
2.473964e-06,-2.72989020531678e-10
2.508415e-06,-2.692743478551282e-10
2.543346e-06,-2.656099187010059e-10
2.578763e-06,-2.619950880640679e-10
2.614673e-06,-2.584292171044803e-10
2.651084e-06,-2.549116764779149e-10
2.688001e-06,-2.514418354930694e-10
2.725433e-06,-2.480190730169804e-10
2.763385e-06,-2.446427745600405e-10
2.801867e-06,-2.413123322590478e-10
2.840884e-06,-2.3802714432947e-10
2.880444e-06,-2.347866155743559e-10
2.920556e-06,-2.315901570281003e-10
2.961225e-06,-2.284371862677536e-10
3.002462e-06,-2.25327127302757e-10
3.044272e-06,-2.222594105523672e-10
3.086665e-06,-2.192334729655642e-10
3.129648e-06,-2.162487578451336e-10
3.17323e-06,-2.13304715162807e-10
3.217418e-06,-2.104008011719703e-10
3.262222e-06,-2.075364786443675e-10
3.30765e-06,-2.047112167582444e-10
3.35371e-06,-2.019244911177808e-10
3.400412e-06,-1.991757836475673e-10
3.447764e-06,-1.964645827235538e-10
3.495776e-06,-1.937903830018734e-10
3.544456e-06,-1.911526853209856e-10
3.593814e-06,-1.885509969246682e-10
3.643859e-06,-1.859848311870793e-10
3.694601e-06,-1.834537076680751e-10
3.74605e-06,-1.809571519609845e-10
3.798215e-06,-1.784946958823791e-10
3.851106999999999e-06,-1.760658771252372e-10
3.904735e-06,-1.736702393988719e-10
3.95911e-06,-1.713073324103576e-10
4.014242e-06,-1.689767115892899e-10
4.070141999999999e-06,-1.666779382532832e-10
4.126820999999999e-06,-1.644105794626721e-10
4.184289e-06,-1.621742080040317e-10
4.242556e-06,-1.599684022180608e-10
4.301636e-06,-1.577927461000247e-10
4.361538e-06,-1.556468290929487e-10
4.422274e-06,-1.535302461105745e-10
4.483856e-06,-1.514425975481103e-10
4.546295e-06,-1.493834889890469e-10
4.609604e-06,-1.473525314243085e-10
4.673795e-06,-1.453493409662783e-10
4.73888e-06,-1.433735388983373e-10
4.80487e-06,-1.411591207727939e-10
4.87178e-06,-1.392576930094179e-10
4.939621999999999e-06,-1.37381081176159e-10
5.008408e-06,-1.355290186985108e-10
5.078152e-06,-1.337012389182118e-10
5.148867e-06,-1.318974751775129e-10
5.220568e-06,-1.301174610560493e-10
5.293266e-06,-1.28360930469746e-10
5.366977e-06,-1.266276177247547e-10
5.441714e-06,-1.2491725782795e-10
5.517492e-06,-1.232295864129946e-10
5.594325999999999e-06,-1.215643399703997e-10
5.672229e-06,-1.199212559312597e-10
5.751216999999999e-06,-1.183000728118179e-10
5.831305e-06,-1.167005302295457e-10
5.912508e-06,-1.151223691012114e-10
5.994843e-06,-1.135653316531622e-10
6.078322999999999e-06,-1.120291615492856e-10
6.162966e-06,-1.10513603973454e-10
6.248788e-06,-1.090184057081162e-10
6.335804999999999e-06,-1.075433151922204e-10
6.424033999999999e-06,-1.060880826267176e-10
6.513491e-06,-1.046524599598177e-10
6.604194e-06,-1.03236201050799e-10
6.696159999999999e-06,-1.018390616493228e-10
6.789407e-06,-1.004607995000899e-10
6.883951999999999e-06,-9.910117435089762e-11
6.979814e-06,-9.775994801915212e-11
7.077010999999999e-06,-9.643688442507231e-11
7.175561e-06,-9.513174962320844e-11
7.275484e-06,-9.384431187027269e-11
7.376798e-06,-9.258968971038601e-11
7.479523e-06,-9.133543517624054e-11
7.583678e-06,-9.009833636370746e-11
7.689283999999999e-06,-8.887815861230368e-11
7.796359999999999e-06,-8.767467049085827e-11
7.904927999999999e-06,-8.648764368400504e-11
8.015006999999999e-06,-8.531685303778997e-11
8.126619e-06,-8.416207644957726e-11
8.239786e-06,-8.302309482914601e-11
8.354527999999999e-06,-8.189969211860874e-11
8.470868e-06,-8.079165515331514e-11
8.588829000000001e-06,-7.969877373133217e-11
