kgds X,kgds Y,ids X,ids Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kcds X,kcds Y,rds X,rds Y,kcgd X,kcgd Y
20.00531,-0.4037399003946011,20.00531,-5.858692122497672e-05,20.00531,2.930837630166466e-10,20.00531,-14.41868227113154,20.00531,-2.143936902667539e-13,20.00531,42276.36631085932,20.00531,1.424565773766453e-10
20.88012,-0.4037399003935926,20.88012,-6.114887411950758e-05,20.88012,2.93083763014507e-10,20.88012,-14.41868227108982,20.88012,-2.143936902647948e-13,20.88012,40505.11441793832,20.88012,1.424565773752357e-10
21.79319,-0.4037399003926262,21.79319,-6.382285888898825e-05,21.79319,2.930837630124548e-10,21.79319,-14.41868227104984,21.79319,-2.143936902628627e-13,21.79319,38808.07262258248,21.79319,1.424565773738838e-10
22.74619,-0.4037399003917015,22.74619,-6.661377458563208e-05,22.74619,2.930837630104936e-10,22.74619,-14.41868227101162,22.74619,-2.143936902609631e-13,22.74619,37182.13174613577,22.74619,1.424565773725917e-10
23.74086,-0.4037399003908139,23.74086,-6.952673449276506e-05,23.74086,2.930837630086098e-10,23.74086,-14.4186822709749,23.74086,-2.143936902592e-13,23.74086,35624.31287512213,23.74086,1.424565773713507e-10
24.77902,-0.4037399003899643,24.77902,-7.256707549294763e-05,24.77902,2.930837630068056e-10,24.77902,-14.41868227093975,24.77902,-2.143936902574362e-13,24.77902,34131.76190353338,24.77902,1.424565773701621e-10
25.86259,-0.4037399003891496,25.86259,-7.574036784577313e-05,25.86259,2.930837630050763e-10,25.86259,-14.41868227090604,25.86259,-2.14393690255858e-13,25.86259,32701.74430377082,25.86259,1.424565773690229e-10
26.99353,-0.4037399003883696,26.99353,-7.905242539323031e-05,26.99353,2.93083763003421e-10,26.99353,-14.41868227087379,26.99353,-2.143936902542054e-13,26.99353,31331.64011667261,26.99353,1.424565773679324e-10
28.17394,-0.403739900387622,28.17394,-8.250931621134353e-05,28.17394,2.930837630018343e-10,28.17394,-14.41868227084286,28.17394,-2.143936902527776e-13,28.17394,30018.93915144177,28.17394,1.42456577366887e-10
29.40596,-0.4037399003869058,29.40596,-8.611737372759298e-05,29.40596,2.930837630003138e-10,29.40596,-14.41868227081322,29.40596,-2.143936902513592e-13,29.40596,28761.23638668483,29.40596,1.424565773658854e-10
30.69185,-0.4037399003862205,30.69185,-8.988320832449448e-05,30.69185,2.930837629988597e-10,30.69185,-14.4186822707849,30.69185,-2.143936902499133e-13,30.69185,27556.22756413127,30.69185,1.424565773649275e-10
32.03398,-0.4037399003855624,32.03398,-9.381371945059463e-05,32.03398,2.930837629974625e-10,32.03398,-14.41868227075766,32.03398,-2.14393690248634e-13,32.03398,26401.70496696286,32.03398,1.424565773640071e-10
33.4348,-0.403739900384933,33.4348,-9.791610826105929e-05,33.4348,2.930837629961267e-10,33.4348,-14.41868227073163,33.4348,-2.143936902473828e-13,33.4348,25295.55337502024,33.4348,1.42456577363127e-10
34.89687,-0.4037399003843291,34.89687,-0.0001021978908110378,34.89687,2.930837629948444e-10,34.89687,-14.41868227070664,34.89687,-2.143936902460804e-13,34.89687,24235.74618947107,34.89687,1.424565773622823e-10
36.42288,-0.4037399003837514,36.42288,-0.000106666911825946,36.42288,2.93083762993619e-10,36.42288,-14.41868227068276,36.42288,-2.143936902449711e-13,36.42288,23220.34171984588,36.42288,1.424565773614749e-10
38.01562,-0.4037399003831967,38.01562,-0.0001113313590739285,38.01562,2.930837629924406e-10,38.01562,-14.41868227065979,38.01562,-2.143936902438468e-13,38.01562,22247.47962663256,38.01562,1.424565773606987e-10
39.67801,-0.4037399003826667,39.67801,-0.0001161997783667918,39.67801,2.930837629913165e-10,39.67801,-14.41868227063789,39.67801,-2.143936902428289e-13,39.67801,21315.37751291988,39.67801,1.424565773599581e-10
41.41309,-0.4037399003821575,41.41309,-0.0001212810892169463,41.41309,2.930837629902349e-10,41.41309,-14.41868227061681,41.41309,-2.143936902417252e-13,41.41309,20422.32765883529,41.41309,1.424565773592456e-10
43.22405,-0.4037399003816704,43.22405,-0.0001265846011789766,43.22405,2.930837629892009e-10,43.22405,-14.41868227059666,43.22405,-2.143936902407577e-13,43.22405,19566.6938928055,43.22405,1.424565773585644e-10
45.1142,-0.4037399003812039,45.1142,-0.0001321200309058446,45.1142,2.930837629882115e-10,45.1142,-14.41868227057738,45.1142,-2.143936902398252e-13,45.1142,18746.90859389735,45.1142,1.424565773579125e-10
47.087,-0.4037399003807571,47.087,-0.0001378975199509277,47.087,2.930837629872632e-10,47.087,-14.41868227055889,47.087,-2.143936902389586e-13,47.087,17961.46981975393,47.087,1.424565773572878e-10
49.14607,-0.4037399003803289,49.14607,-0.0001439276533485275,49.14607,2.930837629863552e-10,49.14607,-14.4186822705412,49.14607,-2.143936902380243e-13,49.14607,17208.93855486091,49.14607,1.424565773566896e-10
51.29518,-0.4037399003799186,51.29518,-0.0001502214790068901,51.29518,2.930837629854848e-10,51.29518,-14.41868227052424,51.29518,-2.143936902372817e-13,51.29518,16487.93607410193,51.29518,1.424565773561161e-10
53.53827,-0.4037399003795254,53.53827,-0.0001567905279492616,53.53827,2.930837629846503e-10,53.53827,-14.41868227050797,53.53827,-2.143936902364587e-13,53.53827,15797.14141677348,53.53827,1.424565773555663e-10
55.87946,-0.4037399003791484,55.87946,-0.0001636468354400706,55.87946,2.930837629838493e-10,55.87946,-14.41868227049237,55.87946,-2.143936902357345e-13,55.87946,15135.28896643053,55.87946,1.424565773550388e-10
58.32301,-0.4037399003787871,58.32301,-0.0001708029630349341,58.32301,2.930837629830824e-10,58.32301,-14.41868227047742,58.32301,-2.14393690234972e-13,58.32301,14501.16613212971,58.32301,1.424565773545335e-10
60.87343,-0.4037399003784411,60.87343,-0.0001782720215948975,60.87343,2.930837629823482e-10,60.87343,-14.41868227046311,60.87343,-2.143936902342869e-13,60.87343,13893.61112682083,60.87343,1.424565773540499e-10
63.53537,-0.4037399003781099,63.53537,-0.00018606769530706,63.53537,2.930837629816456e-10,63.53537,-14.41868227044942,63.53537,-2.143936902336346e-13,63.53537,13311.51083881762,63.53537,1.42456577353587e-10
66.31371,-0.4037399003777916,66.31371,-0.0001942042667556086,66.31371,2.930837629809684e-10,66.31371,-14.41868227043622,66.31371,-2.143936902329734e-13,66.31371,12753.7987924468,66.31371,1.424565773531409e-10
69.21355,-0.403739900377487,69.21355,-0.0002026966430891646,69.21355,2.930837629803214e-10,69.21355,-14.41868227042361,69.21355,-2.143936902323776e-13,69.21355,12219.45319414108,69.21355,1.424565773527147e-10
72.24019,-0.4037399003771954,72.24019,-0.0002115603833324353,72.24019,2.930837629797025e-10,72.24019,-14.41868227041155,72.24019,-2.14393690231851e-13,72.24019,11707.49506039309,72.24019,1.42456577352307e-10
75.39919,-0.4037399003769168,75.39919,-0.0002208117268921558,75.39919,2.930837629791118e-10,75.39919,-14.41868227040004,75.39919,-2.143936902312431e-13,75.39919,11216.98642414382,75.39919,1.424565773519178e-10
78.69633,-0.4037399003766495,78.69633,-0.000230467623309584,78.69633,2.93083762978545e-10,78.69633,-14.41868227038899,78.69633,-2.143936902307085e-13,78.69633,10747.02861631716,78.69633,1.424565773515444e-10
82.13764999999999,-0.4037399003763924,82.13764999999999,-0.0002405457633140338,82.13764999999999,2.930837629779987e-10,82.13764999999999,-14.41868227037835,82.13764999999999,-2.143936902301778e-13,82.13764999999999,10296.76061935354,82.13764999999999,1.424565773511845e-10
85.72945,-0.4037399003761473,85.72945,-0.0002510646112343462,85.72945,2.930837629774786e-10,85.72945,-14.41868227036821,85.72945,-2.143936902297293e-13,85.72945,9865.357489725522,85.72945,1.424565773508419e-10
89.47832,-0.4037399003759118,89.47832,-0.0002620434388277182,89.47832,2.930837629769788e-10,89.47832,-14.41868227035847,89.47832,-2.143936902292417e-13,89.47832,9452.028846544183,89.47832,1.424565773505126e-10
93.39113,-0.403739900375686,93.39113,-0.0002735023605877925,93.39113,2.930837629764987e-10,93.39113,-14.41868227034912,93.39113,-2.14393690228714e-13,93.39113,9056.017423489708,93.39113,1.424565773501965e-10
97.47504000000001,-0.4037399003754704,97.47504000000001,-0.0002854623705967589,97.47504000000001,2.930837629760422e-10,97.47504000000001,-14.41868227034022,97.47504000000001,-2.143936902283631e-13,97.47504000000001,8676.597681411036,97.47504000000001,1.424565773498955e-10
101.7375,-0.4037399003752638,101.7375,-0.0002979453809889768,101.7375,2.930837629756044e-10,101.7375,-14.41868227033169,101.7375,-2.143936902278638e-13,101.7375,8313.074479053059,101.7375,1.424565773496071e-10
106.1864,-0.4037399003750649,106.1864,-0.0003109742620965591,106.1864,2.930837629751809e-10,106.1864,-14.41868227032344,106.1864,-2.143936902275004e-13,106.1864,7964.78179947687,106.1864,1.424565773493282e-10
