kcgd X,kcgd Y,ids X,ids Y,kcds X,kcds Y,rds X,rds Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kgds X,kgds Y
11.46843,5.360734317702726e-11,11.46843,-8.914569992893057e-05,11.46843,-9.669673337946244e-14,11.46843,34611.26063494502,11.46843,1.26123748185104e-10,11.46843,-9.16824437514834,11.46843,-0.3241023522582832
11.96993,5.360734317702726e-11,11.96993,-9.304396048165123e-05,11.96993,-9.669673337946101e-14,11.96993,33161.15348865961,11.96993,1.26123748185104e-10,11.96993,-9.168244375148339,11.96993,-0.3241023522582832
12.49337,5.360734317702726e-11,12.49337,-9.711268843043209e-05,12.49337,-9.669673337945181e-14,12.49337,31771.80144626635,12.49337,1.26123748185104e-10,12.49337,-9.168244375148339,12.49337,-0.3241023522582832
13.03969,5.360734317702726e-11,13.03969,-0.0001013593381597939,13.03969,-9.669673337945666e-14,13.03969,30440.65905265269,13.03969,1.26123748185104e-10,13.03969,-9.168244375148339,13.03969,-0.3241023522582832
13.60991,5.360734317702726e-11,13.60991,-0.0001057916900277264,13.60991,-9.669673337945372e-14,13.60991,29165.2874995774,13.60991,1.26123748185104e-10,13.60991,-9.168244375148339,13.60991,-0.3241023522582831
14.20505,5.360734317702726e-11,14.20505,-0.0001104178646202134,14.20505,-9.669673337945397e-14,14.20505,27943.35015748878,14.20505,1.26123748185104e-10,14.20505,-9.16824437514834,14.20505,-0.3241023522582832
14.82623,5.360734317702726e-11,14.82623,-0.0001152463376290938,14.82623,-9.669673337943387e-14,14.82623,26772.60829454678,14.82623,1.26123748185104e-10,14.82623,-9.16824437514834,14.82623,-0.3241023522582832
15.47457,5.360734317702727e-11,15.47457,-0.0001202859553805178,15.47457,-9.669673337945142e-14,15.47457,25650.91697500499,15.47457,1.26123748185104e-10,15.47457,-9.168244375148339,15.47457,-0.3241023522582832
16.15126,5.360734317702726e-11,16.15126,-0.0001255459510424505,16.15126,-9.66967333794755e-14,16.15126,24576.22112943764,16.15126,1.26123748185104e-10,16.15126,-9.16824437514834,16.15126,-0.3241023522582832
16.85754,5.360734317702726e-11,16.85754,-0.0001310359615409116,16.85754,-9.669673337946563e-14,16.85754,23546.55178961302,16.85754,1.26123748185104e-10,16.85754,-9.16824437514834,16.85754,-0.3241023522582832
17.5947,5.360734317702726e-11,17.5947,-0.0001367660452159508,17.5947,-9.669673337945297e-14,17.5947,22560.02248111336,17.5947,1.26123748185104e-10,17.5947,-9.16824437514834,17.5947,-0.3241023522582832
18.3641,5.360734317702726e-11,18.3641,-0.0001427467002496982,18.3641,-9.669673337945216e-14,18.3641,21614.82576709397,18.3641,1.26123748185104e-10,18.3641,-9.168244375148339,18.3641,-0.3241023522582832
19.16715,5.360734317702725e-11,19.16715,-0.0001489888839002612,19.16715,-9.669673337945977e-14,19.16715,20709.2299368477,19.16715,1.26123748185104e-10,19.16715,-9.168244375148337,19.16715,-0.3241023522582832
20.00531,5.360734317702726e-11,20.00531,-0.0001555040325767007,20.00531,-9.66967333794446e-14,20.00531,19841.57583310872,20.00531,1.26123748185104e-10,20.00531,-9.168244375148339,20.00531,-0.3241023522582832
20.88012,5.360734317702725e-11,20.88012,-0.0001623040827918642,20.88012,-9.669673337945423e-14,20.88012,19010.27381228317,20.88012,1.26123748185104e-10,20.88012,-9.168244375148339,20.88012,-0.3241023522582832
21.79319,5.360734317702726e-11,21.79319,-0.0001694014930314761,21.79319,-9.669673337945408e-14,21.79319,18213.80083203585,21.79319,1.26123748185104e-10,21.79319,-9.16824437514834,21.79319,-0.3241023522582832
22.74619,5.360734317702726e-11,22.74619,-0.0001768092665795323,22.74619,-9.66967333794465e-14,22.74619,17450.69766089958,22.74619,1.26123748185104e-10,22.74619,-9.168244375148339,22.74619,-0.3241023522582832
23.74086,5.360734317702725e-11,23.74086,-0.0001845409753418379,23.74086,-9.66967333794589e-14,23.74086,16719.56620479238,23.74086,1.26123748185104e-10,23.74086,-9.168244375148339,23.74086,-0.3241023522582832
24.77902,5.360734317702726e-11,24.77902,-0.0001926107847113208,24.77902,-9.66967333794443e-14,24.77902,16019.06694554611,24.77902,1.26123748185104e-10,24.77902,-9.16824437514834,24.77902,-0.3241023522582832
25.86259,5.360734317702726e-11,25.86259,-0.0002010334795206859,25.86259,-9.669673337946082e-14,25.86259,15347.91648675279,25.86259,1.26123748185104e-10,25.86259,-9.168244375148339,25.86259,-0.3241023522582832
26.99353,5.360734317702726e-11,26.99353,-0.0002098244911299542,26.99353,-9.669673337946058e-14,26.99353,14704.88520243261,26.99353,1.26123748185104e-10,26.99353,-9.168244375148339,26.99353,-0.3241023522582832
28.17394,5.360734317702726e-11,28.17394,-0.0002189999256985155,28.17394,-9.66967333794548e-14,28.17394,14088.79498421552,28.17394,1.26123748185104e-10,28.17394,-9.16824437514834,28.17394,-0.3241023522582832
29.40596,5.360734317702726e-11,29.40596,-0.0002285765936934919,29.40596,-9.669673337945192e-14,29.40596,13498.51708290929,29.40596,1.26123748185104e-10,29.40596,-9.16824437514834,29.40596,-0.3241023522582832
30.69185,5.360734317702726e-11,30.69185,-0.0002385720406884777,30.69185,-9.669673337945396e-14,30.69185,12932.97004049911,30.69185,1.26123748185104e-10,30.69185,-9.168244375148339,30.69185,-0.3241023522582832
32.03398,5.360734317702726e-11,32.03398,-0.000249004579509074,32.03398,-9.669673337944299e-14,32.03398,12391.11770879049,32.03398,1.26123748185104e-10,32.03398,-9.16824437514834,32.03398,-0.3241023522582832
33.4348,5.360734317702726e-11,33.4348,-0.0002598933237841294,33.4348,-9.669673337946514e-14,33.4348,11871.96735106449,33.4348,1.26123748185104e-10,33.4348,-9.168244375148339,33.4348,-0.3241023522582832
34.89687,5.360734317702726e-11,34.89687,-0.0002712582229641315,34.89687,-9.669673337943945e-14,34.89687,11374.56782326855,34.89687,1.26123748185104e-10,34.89687,-9.168244375148339,34.89687,-0.3241023522582832
36.42288,5.360734317702725e-11,36.42288,-0.0002831200988709339,36.42288,-9.669673337944845e-14,36.42288,10898.00783140931,36.42288,1.26123748185104e-10,36.42288,-9.16824437514834,36.42288,-0.3241023522582832
38.01562,5.360734317702726e-11,38.01562,-0.0002955006838457636,38.01562,-9.669673337946249e-14,38.01562,10441.41426195569,38.01562,1.26123748185104e-10,38.01562,-9.168244375148339,38.01562,-0.3241023522582832
39.67801,5.360734317702726e-11,39.67801,-0.0003084226605654055,39.67801,-9.669673337944922e-14,39.67801,10003.95058219304,39.67801,1.26123748185104e-10,39.67801,-9.16824437514834,39.67801,-0.3241023522582832
41.41309,5.360734317702726e-11,41.41309,-0.0003219097035995128,41.41309,-9.669673337945211e-14,41.41309,9584.815307597597,41.41309,1.26123748185104e-10,41.41309,-9.168244375148339,41.41309,-0.3241023522582832
43.22405,5.360734317702726e-11,43.22405,-0.0003359865227851858,43.22405,-9.669673337943711e-14,43.22405,9183.240533423139,43.22405,1.26123748185104e-10,43.22405,-9.168244375148339,43.22405,-0.3241023522582832
45.1142,5.360734317702726e-11,45.1142,-0.000350678908498275,45.1142,-9.66967333794512e-14,45.1142,8798.490527809981,45.1142,1.26123748185104e-10,45.1142,-9.168244375148339,45.1142,-0.3241023522582832
47.087,5.360734317702726e-11,47.087,-0.0003660137789043588,47.087,-9.669673337944868e-14,47.087,8429.860383838331,47.087,1.26123748185104e-10,47.087,-9.16824437514834,47.087,-0.3241023522582832
49.14607,5.360734317702726e-11,49.14607,-0.0003820192292759685,49.14607,-9.669673337944462e-14,49.14607,8076.674728056445,49.14607,1.26123748185104e-10,49.14607,-9.168244375148339,49.14607,-0.3241023522582832
51.29518,5.360734317702726e-11,51.29518,-0.0003987245834664042,51.29518,-9.66967333794518e-14,51.29518,7738.286483117712,51.29518,1.26123748185104e-10,51.29518,-9.16824437514834,51.29518,-0.3241023522582832
53.53827,5.360734317702726e-11,53.53827,-0.0004161604476344573,53.53827,-9.66967333794558e-14,53.53827,7414.075682259398,53.53827,1.26123748185104e-10,53.53827,-9.16824437514834,53.53827,-0.3241023522582832
55.87946,5.360734317702726e-11,55.87946,-0.0004343587663184674,55.87946,-9.669673337945735e-14,55.87946,7103.448333451152,55.87946,1.26123748185104e-10,55.87946,-9.168244375148339,55.87946,-0.3241023522582832
58.32301,5.360734317702726e-11,58.32301,-0.0004533528809624416,58.32301,-9.669673337945647e-14,58.32301,6805.835331132331,58.32301,1.26123748185104e-10,58.32301,-9.16824437514834,58.32301,-0.3241023522582832
60.87343,5.360734317702726e-11,60.87343,-0.0004731775910014781,60.87343,-9.669673337944479e-14,60.87343,6520.69141354409,60.87343,1.26123748185104e-10,60.87343,-9.168244375148337,60.87343,-0.3241023522582832
63.53537,5.360734317702726e-11,63.53537,-0.0004938692176183843,63.53537,-9.669673337946018e-14,63.53537,6247.494163746317,63.53537,1.26123748185104e-10,63.53537,-9.168244375148339,63.53537,-0.3241023522582832
66.31371,5.360734317702726e-11,66.31371,-0.0005154656702883325,66.31371,-9.669673337944367e-14,66.31371,5985.743052488697,66.31371,1.26123748185104e-10,66.31371,-9.16824437514834,66.31371,-0.3241023522582832
69.21355,5.360734317702726e-11,69.21355,-0.0005380065162334365,69.21355,-9.669673337942867e-14,69.21355,5734.958521182793,69.21355,1.26123748185104e-10,69.21355,-9.168244375148339,69.21355,-0.3241023522582832
72.24019,5.360734317702726e-11,72.24019,-0.0005615330529145239,72.24019,-9.669673337945408e-14,72.24019,5494.681103294697,72.24019,1.26123748185104e-10,72.24019,-9.168244375148339,72.24019,-0.3241023522582832
75.39919,5.360734317702726e-11,75.39919,-0.0005860883836929053,75.39919,-9.669673337945037e-14,75.39919,5264.470582548702,75.39919,1.26123748185104e-10,75.39919,-9.168244375148339,75.39919,-0.3241023522582832
78.69633,5.360734317702726e-11,78.69633,-0.0006117174968007615,78.69633,-9.66967333794628e-14,78.69633,5043.905186399721,78.69633,1.26123748185104e-10,78.69633,-9.168244375148339,78.69633,-0.3241023522582832
82.13764999999999,5.360734317702726e-11,82.13764999999999,-0.0006384673477648379,82.13764999999999,-9.669673337945298e-14,82.13764999999999,4832.580813296744,82.13764999999999,1.26123748185104e-10,82.13764999999999,-9.168244375148339,82.13764999999999,-0.3241023522582832
85.72945,5.360734317702726e-11,85.72945,-0.0006663869454344481,85.72945,-9.669673337946933e-14,85.72945,4630.110292321638,85.72945,1.26123748185104e-10,85.72945,-9.168244375148339,85.72945,-0.3241023522582832
89.47832,5.360734317702726e-11,89.47832,-0.000695527441771409,89.47832,-9.669673337945596e-14,89.47832,4436.122673846812,89.47832,1.26123748185104e-10,89.47832,-9.168244375148339,89.47832,-0.3241023522582832
93.39113,5.360734317702726e-11,93.39113,-0.0007259422255664034,93.39113,-9.66967333794413e-14,93.39113,4250.262549912222,93.39113,1.26123748185104e-10,93.39113,-9.168244375148339,93.39113,-0.3241023522582832
97.47504000000001,5.360734317702726e-11,97.47504000000001,-0.0007576870202534771,97.47504000000001,-9.669673337945094e-14,97.47504000000001,4072.189403076496,97.47504000000001,1.26123748185104e-10,97.47504000000001,-9.168244375148339,97.47504000000001,-0.3241023522582832
101.7375,5.360734317702727e-11,101.7375,-0.0007908199860018733,101.7375,-9.669673337944825e-14,101.7375,3901.576982549234,101.7375,1.26123748185104e-10,101.7375,-9.168244375148339,101.7375,-0.3241023522582832
106.1864,5.360734317702726e-11,106.1864,-0.0008254018262722607,106.1864,-9.669673337944395e-14,106.1864,3738.11270646144,106.1864,1.26123748185104e-10,106.1864,-9.16824437514834,106.1864,-0.3241023522582832
110.8299,5.360734317702726e-11,110.8299,-0.0008614958990325319,110.8299,-9.669673337943942e-14,110.8299,3581.497089179182,110.8299,1.26123748185104e-10,110.8299,-9.168244375148339,110.8299,-0.3241023522582832
115.6763,5.360734317702727e-11,115.6763,-0.0008991683328370356,115.6763,-9.669673337944503e-14,115.6763,3431.443192610765,115.6763,1.26123748185104e-10,115.6763,-9.168244375148339,115.6763,-0.3241023522582832
120.7348,5.360734317702726e-11,120.7348,-0.0009384881479817754,120.7348,-9.669673337944655e-14,120.7348,3287.676100502797,120.7348,1.26123748185104e-10,120.7348,-9.16824437514834,120.7348,-0.3241023522582832
126.0144,5.360734317702726e-11,126.0144,-0.0009795273829576554,126.0144,-9.66967333794408e-14,126.0144,3149.932414761496,126.0144,1.26123748185104e-10,126.0144,-9.168244375148339,126.0144,-0.3241023522582832
131.5249,5.360734317702726e-11,131.5249,-0.001022361226433418,131.5249,-9.669673337944315e-14,131.5249,3017.959772876575,131.5249,1.26123748185104e-10,131.5249,-9.168244375148339,131.5249,-0.3241023522582832
137.2764,5.360734317702726e-11,137.2764,-0.001067068155010041,137.2764,-9.669673337945764e-14,137.2764,2891.516385563754,137.2764,1.26123748185104e-10,137.2764,-9.168244375148339,137.2764,-0.3241023522582832
143.2793,5.360734317702728e-11,143.2793,-0.001113730076999058,143.2793,-9.669673337944401e-14,143.2793,2770.370593778464,143.2793,1.261237481851041e-10,143.2793,-9.168244375148339,143.2793,-0.3241023522582832
149.5448,5.360734317702726e-11,149.5448,-0.0011624324824881,149.5448,-9.669673337945731e-14,149.5448,2654.300444289592,149.5448,1.26123748185104e-10,149.5448,-9.168244375148339,149.5448,-0.3241023522582832
156.0843,5.360734317702726e-11,156.0843,-0.001213264599968768,156.0843,-9.669673337945307e-14,156.0843,2543.093283035078,156.0843,1.26123748185104e-10,156.0843,-9.168244375148339,156.0843,-0.3241023522582832
162.9097,5.360734317702726e-11,162.9097,-0.001266319559813615,162.9097,-9.669673337946641e-14,162.9097,2436.545365514966,162.9097,1.26123748185104e-10,162.9097,-9.16824437514834,162.9097,-0.3241023522582832
170.0336,5.360734317702726e-11,170.0336,-0.00132169456490186,170.0336,-9.669673337945261e-14,170.0336,2334.461483507666,170.0336,1.26123748185104e-10,170.0336,-9.168244375148339,170.0336,-0.3241023522582832
177.469,5.360734317702726e-11,177.469,-0.001379491068706405,177.469,-9.66967333794337e-14,177.469,2236.654607425724,177.469,1.26123748185104e-10,177.469,-9.168244375148339,177.469,-0.3241023522582832
185.2295,5.360734317702726e-11,185.2295,-0.001439814961168464,185.2295,-9.6696733379475e-14,185.2295,2142.945543655735,185.2295,1.26123748185104e-10,185.2295,-9.168244375148339,185.2295,-0.3241023522582832
193.3295,5.360734317702725e-11,193.3295,-0.001502776762700275,193.3295,-9.669673337946004e-14,193.3295,2053.162606254779,193.3295,1.26123748185104e-10,193.3295,-9.168244375148339,193.3295,-0.3241023522582832
201.7836,5.360734317702726e-11,201.7836,-0.001568491826671383,201.7836,-9.669673337945094e-14,201.7836,1967.141302401732,201.7836,1.26123748185104e-10,201.7836,-9.168244375148339,201.7836,-0.3241023522582832
210.6074,5.360734317702726e-11,210.6074,-0.00163708055074951,210.6074,-9.669673337943217e-14,210.6074,1884.724031027182,210.6074,1.26123748185104e-10,210.6074,-9.168244375148339,210.6074,-0.3241023522582832
